,cleansed_text,created_at,class,is_unuseful,pred
40,"Please post the attached document in SFDC Content.

Audience:

Indicate with an x

Internal Only

x

Client Facing

Both





New Document:

No

Document Name:

FormCorporate Subsidiary BillingSingle InstanceDistributed Minimum CommitmentINTERNAL ONLY

Description:

Requires completion and attach to Contract Creator Notes. This form documents the appropriated transactions for each subsidiary when purchasing the Corporate Subsidiary Billing Service. Single Instance – Distributed Commitment

Document Update:

Yes

Update Description:

08.20.2013 Update form format to capture additional required information for Legal to create SOF accurately.

Existing document link:







Content Owner:

Global Product Management

Tags are indicated with an x

If Update are Tags changing?

No





Sales Cycle



Core Solutions



Professional Services



Extended Services



Other



Prequal/SQL – 0%



Small Business



Advanced Travel Services



Business Intelligence



Conversion



QL/Sales Working – 10%



Travel & Expense

Consulting & Config. Services

Concur Audit Services

External Compliance



Discovery – 25%



Travel



Training Services



Expense Pay

Internal Compliance



Evaluation – 50%



Expense



Invoice Management



Imaging



Vendor of Choice – 75%



Mobile





Service Administration",2013-08-21 16:29:50.000000 UTC,chat,True,True
92,"Hello Kelly,

Thank you for contacting Field Services for assistance. Due to the nature of your request, your case requires additional support from the IT Production Support team, and will be transferred to this group for completion. No further action is required by you to facilitate this request.

Case Number:  04654553
Contact Name:  Kelly Lane
Case Owner: Field Services Inbox

Subject:  New Hire CONTRACTOR: Linda Lioe, Dept#4300, Req#6491 - Start: 2/3/2014
Description:  HIRING MANAGER: A JIRA Employee On-Boarding ticket will be launched on your behalf to initiate the new hire's setup.  You will receive an email with a link to complete IT Setup for your new hire. This email will be marked ""Assigned"" and requires you take action immediately upon receipt.  If your response is not received within 24 hours, your new hire WILL NOT receive correct equipment, access, or facilities needs.  Please note you will receive additional emails that do not require you to take action.  These emails provide you with status updates on your new hire ticket.  Only emails marked ""Assigned"" or ""Commented"" require you to immediately take action.  Please visit http://portal.concur.com/itbs/On-Boarding_Tickets for a refresher on the process.

Legal Name (to be consistent with travel documents): Linda Lioe
Known As (to be used for E-mail Account):
Title: Contractor
Reporting to: Allie Hanegan
Department: Operations-Human Resources (101-4300)
Direct Reports:  N
Location: Corporate Bellevue
Class: Contract - New Engagement
Office/Cubicle #:  Work with hiring manager to identify space
Start Date: 2/3/2014
Source: Other - Connection with VP, Charles Mah
Concur Payroll: N
Timecard:  N
Background Check Status: In progress
Contractor End Date: 4/30/2014

Thanks,

Kelly Lane
Concur |  www.concur.com |

Work for a market leader that hires, develops, & rewards great people!
Check us out at www.concur.com/careers

Kelly.Lane@concur.com | Ph: 425-590-5329 - Ext. 05329",2014-01-31 16:19:13.000000 UTC,chat,True,True
524,"Hi there


I have made the proper changes to my expense report. Please review today so my supervisor can review. Today is the last day for manager approval.

Thank you!





Warmest Regards,

Bethany



Bethany Burpee
Freudenberg-NOK Sealing Technologies 

Talent Acquisition Specialist

Freudenberg-NOK General Partnership
47690 East Anchor Court
Plymouth, MI 48170, USA
Office: 734.354.5449
Fax: 734. 927.1395
Email:",2015-04-08 13:32:30.000000 UTC,chat,False,False
362,Hopefully you can tell from these photos. The back of the book is almost bent and so it doesn’t lay flat with the other books.    Brittany Ross,2022-01-12 04:40:00.373000 UTC,ticket,False,False
71,"Your typeform Email import request has a new response:


Hi! What's your name?
Reina


What's the email address your Podia account is under?



How many emails would you like us to import?
2,000 or fewer


Please upload the CSV with your subscribers' emails here. If uploading multiple lists, you can include a zip file.



Please specify which area you'd like your emails imported to:
Pre-launch product email subscribers


Please name the Pre-launch product(s) these emails should be subscribed to:
Samen Mediteren - Mailer Lite List




Log in to view or download your responses at

You can turn off or configure self notifications for this typeform at

Team Typeform
How you ask is everything

Want your responses automatically sent to a Google Sheet, MailChimp, Trello, or your own CRM? Set up an integration to do that and much more:

jp7pltruzkwprdnahk8ijp7plmmj0q96

Typeform sent you this email on behalf of a typeform creator. We aren't responsible for its content. If you suspect abuse, like suspicious links, please report it .",2021-12-22 18:10:57.000000 UTC,chat,True,True
323,It looks like you may have an account with an Apple Id email address. Did you create a Chatbook on 1/10?,2022-01-18 09:55:51.491000 UTC,ticket,False,False
142,"I can be reached at 651-737-0697 M-F 8 am -3 pm in regards to closing this.  Jerry





Jerry Fleischhacker

Global  Applications Engineer

3M Automotive and Aerospace Solutions Division

3M Center, Building 280-3W-312-7

St.Paul , MN. 55144

651-737-0697 – Office

612-715-5579 – Cell

651-736-8679 – Fax

– E-mail

www.3M.com/aerospace",2019-06-28 16:21:19.000000 UTC,chat,False,False
894,All good now...thanks so much!,2022-01-26 14:08:25.000000 UTC,chat,False,False
121,"Here's how the beneficiary would add a payment method:

[App: Article Inserter]

Please let me know if that answers your question.

Warmly,
Tori",2020-04-30 18:45:49.000000 UTC,chat,False,False
357,"Hi
Good Morning. Apps is showing that my expenses has been approved on 15th of October.
May I know why I haven’t received the payment yet . Before I used to received within 7 working days

Faizur Khan| Senior Manager | New Malden |
Dixons Carphone | Unit 2 Burlington Road, Surrey KT3 4PA |
E: khanf41@dixonsretail.com
M: (+44) 07432459424
W: www.dixonscarphone.com

::DISCLAIMER::",2020-10-28 08:09:12.000000 UTC,chat,False,False
907,"I see if it is turned ON, we don't have access to the originals, so they won't download to the Chatbook. I will send you the why next...",2021-12-28 10:31:21.354000 UTC,ticket,False,False
458,"No worries! I have unlocked your book if you would like to make the edits, once you are done I am happy to reprint free of charge.",2022-05-21 20:00:39.109000 UTC,ticket,False,False
751,yes - just a blank screen,2022-03-18 08:44:53.104000 UTC,ticket,False,False
374,updated and it still says error,2021-06-15 15:59:48.000000 UTC,chat,False,False
915,I see- are you able to delete the pages that are black and then drag and drop where you'd like the newly uploaded photo to go?,2021-12-28 11:00:03.495000 UTC,ticket,False,False
588,I like the layout of the system and it is easy to use,2021-03-17 17:24:14.000000 UTC,chat,False,False
14,"I have synced Canvas to Synergy to make grading easier, however, half the time assignments do not sync properly and I have to frequently manually sync. I also do not like that if you import an old assignment with a date on it, it automatically gives students zeros.",2022-05-01 17:56:34.000000 UTC,chat,False,False
85,"I see several caldwell cards here, can you tell me the last 4 digits of the one you are moving?",2021-08-25 22:22:39.000000 UTC,chat,False,False
680,"Hi Shashi,

Can you please also tell me if there are other fields, other than amount, that approvers can’t change?



We thought all fields but amount was editable.



Thanks,



Richard.





Richard Farmer

Coordinator, Project Accounting | Nature Conservancy of Canada

T: 416.932.0050 Ext. 2248",2019-10-04 20:32:46.000000 UTC,chat,False,False
744,Ok thank you!  http://app.chatbooks.com/reconnect/2779181/btNMBgM8qfvotyrPt25TshIUpC0qGmaB1nS9Mwcs,2022-03-18 08:51:55.053000 UTC,ticket,False,False
91,"I will be out of the office on vacation Tuesday, July 16th through Thursday, July 25th.


If you need immediate assistance please contact:

.

Thank you,

Karen Plata
IT Solutions Specialist
Azumano Corporate Travel
320 SW Stark Street, 6th floor
Portland, OR 97209
503-721-8737",2013-07-20 04:36:32.000000 UTC,chat,True,False
290,Thanks for giving our step-by-step guide a go. Let's connect you with an agent since this is a little more complicated than originally expected.,2022-06-22 20:47:13.000000 UTC,chat,False,False
175,"Okay, super. Let us know when we can help. ��",2021-05-11 23:02:56.000000 UTC,chat,True,False
531,"Good day



Below audit report refers.



The audit is defective.



The receipt for lunch which is queried clearly7 has the correct date on it.,



Kind regards



Wayne Stephen

Senior Surveyor

Brisbane (based in Cairns)

Mob: +61 419 816 114",2020-11-17 21:18:25.000000 UTC,chat,False,False
106,"You can also make the campaign unlisted so others can't search for it.



[App: Article Inserter]",2021-10-15 13:27:55.000000 UTC,chat,False,False
726,"Ok, will do.



Regards,



The Concur Team",2021-08-30 13:03:56.000000 UTC,chat,False,False
535,"Thanks Jan, I appreciate your help as well.



AMEX told me this was made up of 3 charges of which all should have now been paid.



[if !supportLists] · [endif] Linked In-filed on Dec 8th and paid on Dec 15th-$107.24

[if !supportLists] · [endif] My annual AMEX card fee-paid personally on Wednesday-$90.00, but unable to process through Concur Expense and mark as personal until we are allowed to use our new integrated expense system.

[if !supportLists] · [endif] The below charge from a Canada rental car trip with Avis which was processed-$21.38



A: $107.24-completed below

Report Name:

December LinkedIn

Payment Type:

AMEX - IBCP

Account Ending:

2007

Report ID:

E40A30F3F0DE4207BF5E

Amount Due to Card Issuer:

107.24 USD

Projected Payment Date:

12/15/2016





B: $90.00-paid personally yesterday



C: $21.38-outstanding below but submitted & approved in below link







Total-$218.62",2017-01-06 13:36:47.000000 UTC,chat,False,False
48,"The interface needs to be more streamlined.  For instance, the ""speedgrader"" isn't very speedy.  I have to click on each individual name for it to pop up?  Why don't you just make it in card index format where I can go through and see four people at a time, throw the grade in and keep going?  Why don't I get a little red mark next to the comments on assignments students make?  There are just little things all over the place that could be simple to implement and improve the experience.",2021-08-24 03:31:29.000000 UTC,chat,False,False
